id,author,quote
166,Immanuel Kant,Science is organized knowledge. Wisdom is organized life.
167,Issac Asimov,"Part of the inhumanity of the computer is that, once it is competently programmed and working smoothly, it is completely honest."
168,Issac Newton,If I have seen further it is by standing on the shoulders of giants.
169,J.B.S. Haldane,"Not only is the universe stranger (queerer) than we imagine, it is stranger (queerer) than we can imagine."
170,James Feibleman,A myth is a religion in which no one any longer believes.
171,James Thurber,It is better to know some of the questions than all of the answers.
172,Jawaharal Nehru,Life is like a game of cards. The hand that is dealt you is determinism; the way you play it is free will.
173,Jean Baptiste Moliere,"Nearly all men die of their remedies, and not of their illnesses."
174,Jean Giraudoux,Only the mediocre are always at their best.
175,Jerome Blattner,A person who trusts no one can't be trusted.
176,Jiddu Krisnamurti,It is no measure of health to be well adjusted to a profoundly sick society.
177,Johann Lavater,"Mistrust the man who finds everything good, the man who finds everything evil and still more the man who is indifferent to everything."
178,Johann von Goethe,"The intelligent man finds almost everything ridiculous, the sensible man hardly anything."
179,Johann von Neumann,In mathematics you don't understand things. You just get used to them.
180,John F. Kennedy,"Victory has a thousand fathers, but defeat is an orphan."
181,John Gardner,We are continually faced with a series of great opportunities brilliantly disguised as insoluble problems.
182,John Lennon,God is a concept by which we measure our pain.
183,John Lennon,Reality leaves a lot to the imagination.
184,John Lennon,Life is what happens to you while you're busy making other plans.
185,John Muir,"When we try to pick out anything by itself, we find it hitched to everything else in the universe."
186,John Ruskin,"What we think, or what we know, or what we believe is, in the end, of little consequence. The only consequence is what we do."
187,Johnathan Swift,No wise man ever wished to be younger.
188,Jose Marti,"Man has to suffer. When he has no real afflictions, he invents some."
189,Joseph Baretti,"I hate mankind, for I think myself one of the best of them, and I know how bad I am."
190,Jules de Gaultier,Imagination is the one weapon in the war against reality.
191,Jules Renard,Laziness is nothing more than the habit of resting before you get tired.
192,Lance Armstrong,"Anything is possible, but you have to believe and you have to fight."
193,Lao-Tzu,Watch your thoughts; they become words. Watch your words; they become actions. Watch your actions; they become habits. Watch your habits; they become character. Watch your character; it becomes your destiny.
194,Lao-Tzu,A journey of a thousand miles begins with a single step.
195,Larry Bossidy,Truth over Harmony.
196,Lee Simonson,"Any event, once it has occurred, can be made to appear inevitable by a competent historian."
197,Leo Tolstoy,"Everyone thinks of changing the world, but no one thinks of changing himself."
198,Leonardo da Vinci,Simplicity is the ultimate sophistication.
199,Lin Yutang,"Besides the noble art of getting things done, there is the noble art of leaving things undone. The wisdom of life consists in the elimination of nonessentials."
200,Lin-Chi,"When hungry, eat your rice; when tired, close your eyes. Fools may laugh at me, but wise men will know what I mean."
201,Linus Pauling,The best way to have a good idea is to have lots of ideas.
202,Lois McMaster Bujold,"There are always survivors at a massacre. Among the victors, if nowhere else."
203,Lord Thomas Macaulay,The highest proof of virtue is to possess boundless power without abusing it.
